"","iccstatus","astatus","bstatus","cstatus","iccstatus.newer","astatus.new","bstatus.new","cstatus.new","noacc.new","ab_accred","abc_accred","comp","nocomp","punish","nopunish","year","iso3numeric","cname","ht_region","west","ciri_wopol","ciri_wecon","ciri_physint","nhri","cum.nhri","iccprrat","cedawrat","ciri_int.lead","ciri_empinx_new","ciri_civ.lead","p_polity2","latentmean","interstateconflict","internalconflict","wdi_gdppccon","wdi_trade","wdi_pop.1000","INGO_final","p_durable","LJI","coldwar","unworldconference","lead.ciri_wopol","lead.ciri_wecon","leadinternalconflict","leadinterstateconflict","nhri2","eighties","nineties","naughts","tens","logpop","loggdp","logingo","treatment","regions","astatus.old","bstatus.old","cstatus.old","leadconflict","wop_dum","wec_dum","wop_red","leadwop_dum","leadwec_dum","leadwop_red","leadwec_red","wec_red","womsam","leadwomsam","yearcount"
"1","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1981,8,"Albania",1,0,2,1,1,0,0,0,0,2,0,0,-9,-1.06002989474847,0,0,1858.23230911289,44.497605577662,2726.056,48,34,0.0377,1,0,"2",1,0,0,0,1,0,0,0,7.9106111549655,7.52738094337329,3.89182029811063,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,1
"2","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1982,8,"Albania",1,0,2,1,2,0,0,0,0,2,0,0,-9,-1.05379141458134,0,0,1873.02086646355,43.2525386847195,2784.278,67,35,0.0384,1,0,"2",1,0,0,0,1,0,0,0,7.93174387279084,7.53530784304597,4.21950770517611,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,2
"3","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1983,8,"Albania",1,0,2,1,2,0,0,0,0,1,0,1,-9,-1.02425055367188,0,0,1853.97594968028,39.00562196255,2843.96,68,36,0.0423,1,0,"2",1,0,0,0,1,0,0,0,7.95295272612661,7.52508777391668,4.23410650459726,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,3
"4","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1990,8,"Albania",1,0,2,1,3,0,0,0,0,4,2,10,1,-0.419963795583798,0,0,1654.57547619886,38.0657831094828,3286.542,71,0,0.2294,1,0,"1",1,0,0,0,0,1,0,0,8.09759122717469,7.41129974505725,4.27666611901606,TRUE,"Eastern Europe",0,0,0,0,1,0,1,0,0,"0","0","0",3,2,10
"5","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1991,8,"Albania",1,0,1,1,4,0,0,1,0,6,10,9,1,-0.0640000187037925,0,0,1172.04713833028,34.8163862743792,3266.79,73,0,0.2856,0,0,"2",1,0,0,0,0,1,0,0,8.09156313037989,7.06650718974647,4.30406509320417,TRUE,"Eastern Europe",0,0,0,0,0,0,0,1,0,"1","0","0",2,3,11
"6","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1992,8,"Albania",1,0,2,1,6,0,0,1,0,6,9,8,5,0.291740458851376,0,0,1094.27573146754,100.002686541879,3247.039,88,0,0.3259,0,0,"2",1,0,0,0,0,1,0,0,8.08549878311787,6.99784799095792,4.48863636973214,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,12
"7","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1993,8,"Albania",1,0,2,1,6,0,0,1,0,7,8,12,5,0.390317690127343,0,0,1206.66645111762,77.7150689060593,3227.287,134,1,0.353,0,0,"2",1,0,0,0,0,1,0,0,8.07939712519057,7.09561683751988,4.90527477843843,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,13
"8","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1994,8,"Albania",1,0,2,1,7,0,0,1,1,4,12,11,5,0.34099289172629,0,0,1314.86675249658,50.3020121386065,3207.536,179,2,0.3667,0,0,"2",1,0,0,0,0,1,0,0,8.07325832012127,7.18149061057781,5.19295685089021,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,14
"9","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1995,8,"Albania",1,0,2,1,4,0,0,1,1,4,11,9,5,0.120011533396077,0,0,1498.97471355961,46.9874219923069,3187.784,216,3,0.3644,0,1,"2",1,0,0,0,0,1,0,0,8.0670812835369,7.31253662908748,5.37989735354046,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,15
"10","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1996,8,"Albania",1,0,2,1,4,0,0,1,1,4,9,10,0,-0.0408102306662449,0,0,1645.57714539093,43.2202029493193,3168.033,257,0,0.3609,0,0,"2",1,0,0,0,0,1,0,0,8.06086616954673,7.40584644992858,5.55295958492162,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,16
"11","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1997,8,"Albania",1,0,2,1,4,0,0,1,1,5,10,12,5,-0.209282026746406,0,0,1476.43713431722,43.9356497363814,3148.281,299,0,0.3578,0,0,"2",1,0,0,0,0,1,0,0,8.05461186857773,7.2973871227748,5.7037824746562,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,17
"12","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1998,8,"Albania",1,0,2,1,5,0,0,1,1,5,12,12,5,0.00968933626481897,0,0,1619.60792220271,45.4813408338561,3128.53,348,1,0.3626,0,0,"2",1,0,0,0,0,1,0,0,8.04831852465247,7.3899393756024,5.85507192220243,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,18
"13","No Accreditation",0,0,0,"No Accreditation",0,0,0,1,0,0,1,0,0,1,1999,8,"Albania",1,0,2,1,5,1,1,1,1,3,12,9,5,0.0368893761679319,0,0,1849.95369371227,48.0297480000861,3108.778,365,2,0.3643,0,0,"2",1,0,0,1,0,1,0,0,8.0419850019126,7.5229158873333,5.90263333340137,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,19
"14","No Accreditation",0,0,0,"No Accreditation",0,0,0,1,0,0,1,0,0,1,2000,8,"Albania",1,0,2,1,3,1,2,1,1,6,9,11,5,0.131476450221997,0,0,1985.90010577915,55.9204287258909,3089.027,428,3,0.3688,0,0,"2",1,0,0,4,0,0,1,0,8.03561143357316,7.59382754413521,6.06145691892802,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,20
"15","No Accreditation",0,0,0,"No Accreditation",0,0,0,1,0,0,1,0,0,1,2001,8,"Albania",1,0,2,1,6,1,3,1,1,6,11,12,5,0.286946819102279,0,0,2163.79877913462,57.4303612455344,3060.173,450,4,0.3774,0,0,"2",1,0,0,9,0,0,1,0,8.02622672929604,7.67962065003047,6.11146733950268,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,0,"1","0","0",3,3,21
"16","No Accreditation",0,0,0,"No Accreditation",0,0,0,1,0,0,1,0,0,1,2002,8,"Albania",1,0,2,1,6,1,4,1,1,5,12,10,7,0.325554077488208,0,0,2262.13057482177,63.9342407395705,3051.01,484,5,0.3915,0,0,"2",2,0,0,16,0,0,1,0,8.0232279623252,7.72406238039542,6.18414889093748,TRUE,"Eastern Europe",0,0,0,0,1,0,1,1,1,"1","1","0",3,4,22
"17","No Accreditation",0,0,0,"No Accreditation",0,0,0,1,0,0,1,0,0,1,2003,8,"Albania",1,0,2,2,5,1,5,1,1,6,10,11,7,0.545198294487745,0,0,2401.70363494123,65.4406219448195,3039.616,515,6,0.407,0,0,"2",1,0,0,25,0,0,1,0,8.01948647063228,7.78393361240536,6.24610676548156,TRUE,"Eastern Europe",0,0,0,0,1,1,1,1,0,"1","0","1",4,3,23
"18","A(R)",1,0,0,"A(R)",1,0,0,0,1,1,1,0,0,1,2004,8,"Albania",1,0,2,1,6,1,6,1,1,7,11,10,7,0.659188632722241,0,0,2549.46303456017,66.3578254365494,3026.939,528,7,0.4225,0,0,"2",1,0,0,36,0,0,1,0,8.01530715685302,7.84363804129622,6.2709884318583,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,0,"1","0","0",3,3,24
"19","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2005,8,"Albania",1,0,2,1,7,1,7,1,1,6,10,11,9,0.789913485154149,0,0,2709.14293056201,70.2953012030648,3011.487,531,8,0.4412,0,0,"2",1,0,0,49,0,0,1,0,8.0101892556888,7.9043876020672,6.27664348934164,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,0,"1","0","0",3,3,25
"20","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2006,8,"Albania",1,0,2,1,6,1,8,1,1,7,11,10,9,0.933491554608909,0,0,2874.35436644171,73.4550491645428,2992.547,545,9,0.4587,0,0,"2",2,0,0,64,0,0,1,0,8.00388014324029,7.96358335981805,6.30261897574491,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,1,"1","1","0",3,4,26
"21","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2007,8,"Albania",1,0,2,2,7,1,9,1,1,7,10,12,9,1.07310711577488,0,0,3067.03204994103,82.8724226346172,2970.017,550,10,0.483,0,0,"2",0,0,0,81,0,0,1,0,7.99632295568609,8.02846561399152,6.31173480915291,TRUE,"Eastern Europe",1,0,0,0,1,1,1,1,0,"1","0","1",4,2,27
"22","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2008,8,"Albania",1,0,2,0,7,1,10,1,1,7,12,11,9,1.23847263477567,0,0,3323.38372112992,86.0273722737874,2947.314,564,11,0.5055,0,0,"2",1,0,0,100,0,0,1,0,7.98864952609466,8.10873873599729,6.33682573114644,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,0,"1","0","0",2,3,28
"23","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2009,8,"Albania",1,0,2,1,7,1,11,1,1,7,11,11,9,1.28724547420834,0,0,3457.94159611205,83.3595626255912,2927.519,576,12,0.5304,0,0,"2",1,0,0,121,0,0,1,0,7.98191058563015,8.14842877660149,6.3578422665081,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,0,"1","0","0",3,3,29
"24","A",1,0,0,"A",1,0,0,0,1,1,1,0,0,1,2010,8,"Albania",1,0,2,1,7,1,12,1,1,6,11,9,9,1.26927928541991,0,0,3604.07977225379,85.4645603337825,2913.021,591,13,0.5611,0,0,"2",1,0,0,144,0,0,0,1,7.97694596599627,8.18982175284891,6.38350663488401,TRUE,"Eastern Europe",1,0,0,0,1,0,1,1,0,"1","0","0",3,3,30
"25","No NHRI",0,0,0,"No NHRI",0,0,0,0,0,0,0,0,0,0,1984,12,"Algeria",3,0,1,1,5,0,0,0,0,7,4,2,-9,0.33634770532218,0,0,2831.23390637598,53.1763836889134,21893.857,397,22,0.167,1,0,"1",1,0,0,0,1,0,0,0,9.99396137417336,7.94846790493297,5.98645200528444,TRUE,"Africa",0,0,0,0,0,0,0,0,0,"0","0","0",2,2,4
